Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771023215, 2021-01-03 21:53:47, 3,126,54,5,81, 26,86,114,129,99, 4246, True
5771023116, 2021-01-03 21:53:44, 27,6,120,93,96, 7,17,26,32,129, 4050, False
5771023114, 2021-01-03 21:53:42, 98,112,27,8,114, 129,11,123,32,86, 5346, True
5771023004, 2021-01-03 21:53:38, 74,21,16,12,14, 113,95,42,84,9, 4055, True
5771022417, 2021-01-03 21:52:58, 74,14,9,42,111, 107,38,84,114,1, 4003, False
5771022215, 2021-01-03 21:52:47, 5,42,126,57,33, 39,67,84,129,9, 4487, True
5771022207, 2021-01-03 21:52:38, 114,14,1,100,17, 67,58,48,16,6, 4467, False
5771022108, 2021-01-03 21:52:32, 84,128,77,93,28, 86,5,8,99,74, 4145, True
5771022015, 2021-01-03 21:52:27, 9,95,120,20,90, 56,51,46,105,18, 4134, True
5771022010, 2021-01-03 21:51:57, 44,100,104,52,27, 21,64,70,126,2, 4147, False
5771021900, 2021-01-03 21:52:17, 74,7,2,67,5, 77,10,75,111,84, 4599, False
5771021511, 2021-01-03 21:51:57, 84,35,44,34,78, 5,99,74,12,75, 4598, False
5771021212, 2021-01-03 21:51:33, 46,84,99,68,94, 27,78,100,35,70, 4503, True
5771021011, 2021-01-03 21:51:14, 104,48,1,27,96, 100,103,69,43,70, 4411, False
5771020416, 2021-01-03 21:50:47, 61,20,108,109,75, 101,114,110,112,74, 4242, True
5771020204, 2021-01-03 21:50:17, 99,14,19,31,8, 129,32,110,84,77, 4157, False
5771019514, 2021-01-03 21:49:43, 95,126,110,112,69, 11,86,41,88,2, 4263, True
5771019418, 2021-01-03 21:49:32, 21,68,92,129,114, 46,5,70,86,98, 4038, True
5771019416, 2021-01-03 21:49:32, 32,40,86,13,83, 26,128,85,77,109, 4133, True
5771019219, 2021-01-03 21:49:26, 23,113,106,66,9, 20,100,99,21,72, 4117, False
5771019109, 2021-01-03 21:49:12, 27,114,63,14,13, 111,20,16,8,80, 4357, False
5771018810, 2021-01-03 21:49:02, 97,84,106,103,50, 8,126,83,108,74, 4264, False
5771018809, 2021-01-03 21:49:01, 32,103,120,30,113, 44,99,104,74,57, 4514, True
5771018516, 2021-01-03 21:48:37, 8,25,98,64,19, 123,7,11,31,41, 4154, True
5771018402, 2021-01-03 21:48:27, 104,2,7,30,42, 114,88,38,5,1, 4055, False
5771018010, 2021-01-03 21:47:57, 68,28,5,42,13, 14,126,27,123,44, 4370, False
5771017904, 2021-01-03 21:47:37, 65,5,54,14,129, 37,70,9,99,64, 4263, False
5771017902, 2021-01-03 21:47:28, 3,88,16,11,8, 110,27,98,1,92, 4198, False
5771017806, 2021-01-03 21:47:52, 58,44,11,98,27, 67,91,35,32,22, 4215, False
5771017718, 2021-01-03 21:47:41, 41,97,13,9,30, 42,28,27,63,100, 4339, True
5771017707, 2021-01-03 21:47:47, 84,33,8,42,21, 6,88,64,95,29, 4452, True
5771017504, 2021-01-03 21:47:17, 9,28,92,44,50, 1,48,5,114,104, 5023, True
5771017413, 2021-01-03 21:47:26, 54,16,87,51,49, 88,31,8,128,39, 5324, False
5771017411, 2021-01-03 21:47:23, 106,84,126,112,93, 104,26,101,23,48, 4260, False
5771017010, 2021-01-03 21:47:02, 8,128,78,25,31, 27,70,22,105,97, 4046, True
5771017003, 2021-01-03 21:46:57, 106,41,114,88,98, 104,40,32,46,3, 4559, False
5771016710, 2021-01-03 21:46:27, 10,65,126,123,85, 71,99,15,31,12, 4359, False
5771016019, 2021-01-03 21:45:51, 34,93,9,60,14, 98,6,101,83,56, 4117, True
5771015914, 2021-01-03 21:45:48, 123,51,71,21,6, 20,129,99,44,119, 4455, False
5771015702, 2021-01-03 21:45:17, 3,93,113,16,14, 27,41,64,29,11, 4298, True
5771015601, 2021-01-03 21:45:16, 2,17,7,110,14, 100,70,86,36,128, 4048, True
5771014918, 2021-01-03 21:44:43, 27,25,11,81,8, 14,68,48,13,45, 4098, False
5771014908, 2021-01-03 21:44:38, 110,87,46,77,54, 86,69,97,11,95, 4068, False
5771014901, 2021-01-03 21:44:12, 44,11,47,26,27, 51,93,9,49,31, 4253, True
5771014310, 2021-01-03 21:43:41, 28,105,97,68,41, 93,84,111,35,64, 5372, True
5771014309, 2021-01-03 21:43:32, 19,42,84,25,5, 111,100,126,86,54, 4569, True
5771014214, 2021-01-03 21:43:42, 120,42,107,16,37, 44,95,9,110,26, 4056, True
5771014206, 2021-01-03 21:43:56, 69,22,109,27,14, 44,35,34,20,40, 4185, True
5771014201, 2021-01-03 21:43:22, 31,19,81,10,9, 64,43,88,70,98, 4641, False
5771014104, 2021-01-03 21:43:47, 25,106,19,41,105, 12,121,26,33,22, 4542, False
5771013702, 2021-01-03 21:43:16, 105,14,120,30,41, 129,70,13,37,86, 4111, False
5771013610, 2021-01-03 21:43:16, 42,26,126,104,11, 108,101,8,49,5, 4113, True
5771013609, 2021-01-03 21:43:16, 13,51,93,126,14, 54,123,27,26,96, 4900, False
5771013502, 2021-01-03 21:43:06, 72,5,63,86,129, 114,73,45,62,123, 4187, False
5771013416, 2021-01-03 21:42:52, 109,36,112,63,14, 126,94,108,20,64, 4752, True
5771013405, 2021-01-03 21:43:02, 96,62,106,30,9, 14,75,17,114,103, 4860, True
5771013307, 2021-01-03 21:42:52, 47,1,55,123,37, 26,102,17,114,88, 4044, True
5771013214, 2021-01-03 21:42:46, 28,39,8,14,71, 84,129,44,94,7, 4151, True
5771013207, 2021-01-03 21:42:47, 40,1,120,39,57, 13,16,111,68,8, 4103, False
5771013115, 2021-01-03 21:42:41, 74,6,9,26,49, 121,11,2,1,39, 4012, False
